Pixel,Wavenumber,Processed,Raw,Dark
613,1018.07,1244.20,1797.80,553.60
614,1019.93,1331.70,1885.00,553.30
615,1021.80,1437.10,1996.40,559.30
616,1023.66,1577.50,2851.70,1274.20
617,1025.53,1724.80,2994.40,1269.60
618,1027.39,1879.10,2432.90,553.80
619,1029.25,2074.70,2627.90,553.20
620,1031.11,2241.00,2790.60,549.60
621,1032.97,2555.40,3110.80,555.40
622,1034.82,2961.50,3517.50,556.00
623,1036.68,3348.90,3909.70,560.80
624,1038.53,3912.50,4480.70,568.20
625,1040.39,4486.20,5044.70,558.50
626,1042.24,5045.40,5601.00,555.60
627,1044.09,5574.90,6126.60,551.70
628,1045.94,6073.10,6631.00,557.90
629,1047.79,6468.50,7038.70,570.20
630,1049.64,6706.50,7281.70,575.20
631,1051.48,6793.20,7357.60,564.40
632,1053.33,6603.50,7155.60,552.10
633,1055.17,6290.90,6845.20,554.30
634,1057.02,5958.00,6516.60,558.60
635,1058.86,5468.30,6030.60,562.30
636,1060.70,4975.10,5537.40,562.30
637,1062.54,4627.70,5189.50,561.80
638,1064.38,4337.70,4893.20,555.50
639,1066.21,4108.00,4658.50,550.50
640,1068.05,3884.80,4438.80,554.00
641,1069.89,3790.60,4347.40,556.80
642,1071.72,3839.20,4396.90,557.70
643,1073.55,3911.30,4464.70,553.40
644,1075.38,4025.10,4578.40,553.30
645,1077.21,4190.40,4757.10,566.70
646,1079.04,4421.30,4986.80,565.50
647,1080.87,4719.40,5272.30,552.90
648,1082.70,5070.30,5673.60,603.30
649,1084.52,5466.40,6074.40,608.00
650,1086.35,5924.80,6489.80,565.00
651,1088.17,6348.10,6925.40,577.30
652,1089.99,6705.10,7272.40,567.30
653,1091.81,6993.00,7546.30,553.30
654,1093.63,7118.00,7676.10,558.10
655,1095.45,7130.70,7689.90,559.20
656,1097.27,7000.20,7561.40,561.20
657,1099.09,6657.80,7219.80,562.00
658,1100.90,6174.30,6731.10,556.80
659,1102.71,5639.90,6195.60,555.70
660,1104.53,5127.90,5681.10,553.20
661,1106.34,4614.30,5163.60,549.30
662,1108.15,4199.60,4751.10,551.50
663,1109.96,3925.20,4480.40,555.20
664,1111.77,3658.00,4218.90,560.90
665,1113.57,3413.20,3974.70,561.50
666,1115.38,3191.30,3748.00,556.70
667,1117.19,3043.10,3601.30,558.20
668,1118.99,2939.30,3501.10,561.80
669,1120.79,2818.10,3376.40,558.30
670,1122.59,2673.10,3226.10,553.00
671,1124.39,2550.70,3108.40,557.70
672,1126.19,2396.10,2956.00,559.90
673,1127.99,2217.70,2783.70,566.00
674,1129.79,2097.80,2658.30,560.50
675,1131.58,1989.70,2539.30,549.60
676,1133.38,1864.90,2418.00,553.10
677,1135.17,1738.00,2402.60,664.60
678,1136.97,1632.50,2299.90,667.40
679,1138.76,1554.70,2106.40,551.70
680,1140.55,1440.90,1989.30,548.40
681,1142.34,1353.70,1906.30,552.60
682,1144.12,1335.90,2092.30,756.40
683,1145.91,1264.70,2024.60,759.90
684,1147.70,1215.50,1769.90,554.40
685,1149.48,1192.60,1741.50,548.90
686,1151.27,1128.40,1679.30,550.90
687,1153.05,1097.50,1649.80,552.30
688,1154.83,1065.10,1626.10,561.00
689,1156.61,1022.00,1580.00,558.00
690,1158.39,1009.10,1562.10,553.00
691,1160.17,975.30,1538.50,563.20
692,1161.94,900.80,1475.30,574.50
693,1163.72,865.20,1431.40,566.20
694,1165.49,845.60,1410.60,565.00
695,1167.27,834.70,1406.30,571.60
696,1169.04,819.20,1472.80,653.60
697,1170.81,793.20,1444.80,651.60
698,1172.58,803.30,1380.00,576.70
699,1174.35,783.10,1358.30,575.20
700,1176.12,789.20,1341.20,552.00
701,1177.89,806.80,1356.00,549.20
702,1179.65,784.10,1333.80,549.70
703,1181.42,776.70,1329.80,553.10
704,1183.18,778.50,1331.50,553.00
705,1184.94,799.20,1349.40,550.20
706,1186.70,781.50,1345.10,563.60
707,1188.46,762.40,3384.20,2621.80
708,1190.22,779.60,3391.10,2611.50
709,1191.98,792.80,1352.80,560.00
710,1193.74,789.50,1347.80,558.30
